Property ID,Zip code,City,Type of Property,Subtype of Property,Price (€),Construction year,Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Building condition,Elevator,Basement,Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale,Region,Price per m²
10526495,7190,ecaussinnes,house,country cottage,179000,1850.0,2.0,75.0,Not installed,0,0.0,0.0,0.0,0.0,0.0,5138.0,3.0,0,To renovate,0,0,571.0,,G,,0.0,2.0,Walloon,2386.6666666666665
10346883,7000,mons,house,villa,195000,,2.0,97.0,Semi equipped,0,0.0,0.0,0.0,1.0,452.0,549.0,4.0,0,To be done up,0,0,461.0,,F,Gas,1.0,3.0,Walloon,2010.3092783505156
10486212,4030,liege grivegnée,house,town house,225000,1962.0,3.0,130.0,Semi equipped,0,0.0,1.0,10.0,1.0,190.0,250.0,2.0,0,To be done up,0,0,319.0,,D,,1.0,3.0,Walloon,1730.7692307692307
10398616,7700,mouscron,house,mansion,229000,,3.0,260.0,Installed,0,0.0,1.0,30.0,1.0,200.0,,2.0,0,Good,0,1,221.0,,C,Gas,2.0,4.0,Walloon,880.7692307692307
10409942,2260,westerlo,house,bungalow,269000,1989.0,2.0,103.0,Installed,0,0.0,0.0,0.0,1.0,0.0,764.0,4.0,0,To renovate,0,0,764.0,,F,Electric,2.0,2.0,Flemish,2611.650485436893
10388147,9450,haaltert,house,bungalow,295000,,3.0,165.0,Installed,0,0.0,1.0,42.0,0.0,0.0,360.0,3.0,0,Good,0,0,487.0,,E,Fuel oil,2.0,4.0,Flemish,1787.878787878788
10550513,5150,franière,house,mansion,340000,,7.0,299.0,Installed,0,0.0,0.0,0.0,1.0,0.0,1980.0,,0,To renovate,0,1,576.0,142.0,G,Fuel oil,2.0,2.0,Walloon,1137.123745819398
10197720,6790,aubange,house,apartment block,348000,,4.0,326.0,Semi equipped,0,0.0,0.0,0.0,0.0,0.0,930.0,,0,,0,1,315.0,,D,Fuel oil,1.0,,Walloon,1067.484662576687
10030900,6040,charleroi jumet,house,apartment block,359000,1968.0,6.0,388.0,,0,0.0,0.0,0.0,0.0,0.0,230.0,2.0,0,Good,0,1,,,,Gas,,4.0,Walloon,925.2577319587629
10528086,8820,torhout,house,country cottage,369000,1976.0,4.0,223.0,Installed,0,0.0,0.0,0.0,1.0,595.0,1292.0,4.0,0,,0,0,511.0,,F,Fuel oil,2.0,,Flemish,1654.7085201793723
10548126,1420,braine l'alleud,house,town house,375000,1978.0,3.0,124.0,,0,0.0,0.0,0.0,0.0,0.0,129.0,2.0,0,Good,0,0,172.0,,C,Gas,,4.0,Walloon,3024.1935483870966
10451042,1600,sint-pieters-leeuw,house,villa,375000,1954.0,4.0,124.0,Installed,0,0.0,0.0,0.0,1.0,0.0,454.0,,0,To be done up,0,0,325.0,,D,Gas,2.0,3.0,Flemish,3024.1935483870966
10331490,7100,la louvière haine-saint-pierre,house,villa,399000,,6.0,330.0,Installed,0,0.0,1.0,0.0,1.0,594.0,770.0,3.0,1,Good,0,0,199.0,,C,Gas,2.0,4.0,Walloon,1209.090909090909
10545652,6183,courcelles trazegnies,house,villa,419000,,3.0,213.0,Hyper equipped,0,0.0,1.0,15.0,1.0,518.0,656.0,4.0,0,As new,0,0,188.0,,C,Gas,3.0,6.0,Walloon,1967.1361502347418
10201032,1070,anderlecht,house,apartment block,430000,1930.0,3.0,165.0,Semi equipped,0,0.0,0.0,0.0,1.0,0.0,119.0,,0,,0,0,361.0,,G,Gas,1.0,,Brussels capital region,2606.060606060606
10365341,1090,jette,house,apartment block,430000,,3.0,180.0,Semi equipped,0,0.0,1.0,0.0,1.0,0.0,145.0,2.0,0,Good,0,1,,,,Gas,1.0,4.0,Brussels capital region,2388.8888888888887
10467453,6823,florenville,house,mansion,439000,,5.0,370.0,,0,2.0,1.0,1.0,1.0,1.0,2900.0,10.0,0,,0,0,,,D,Fuel oil,,,Walloon,1186.4864864864865
10358894,1070,anderlecht,house,apartment block,445000,,3.0,176.0,USA installed,0,0.0,1.0,23.0,0.0,0.0,72.0,2.0,0,As new,0,1,,,,Gas,2.0,6.0,Brussels capital region,2528.409090909091
10502976,9040,sint-amandsberg,house,bungalow,445000,1993.0,3.0,124.0,,0,0.0,1.0,0.0,0.0,0.0,523.0,,0,As new,0,0,556.0,,F,,,6.0,Flemish,3588.7096774193546
10505703,9270,laarne,house,farmhouse,459000,1955.0,4.0,258.0,,0,0.0,0.0,0.0,1.0,900.0,1292.0,4.0,0,Good,0,0,832.0,,F,,,4.0,Flemish,1779.0697674418604
10501052,6150,anderlues,house,villa,469000,,5.0,340.0,,0,0.0,0.0,0.0,1.0,1934.0,2166.0,4.0,0,Good,0,0,112.0,,B,,,4.0,Walloon,1379.4117647058824
10209393,3390,tielt-winge,house,exceptional property,475000,,3.0,245.0,,0,0.0,1.0,33.0,0.0,0.0,934.0,3.0,0,As new,0,0,,,,,,6.0,Flemish,1938.7755102040817
10047550,3001,heverlee (leuven),house,mansion,485000,1899.0,3.0,253.0,,0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,0,Good,0,1,,,,Gas,,4.0,Flemish,1916.99604743083
10502928,8570,anzegem,house,villa,492150,2022.0,4.0,294.0,,0,0.0,0.0,0.0,1.0,0.0,599.0,3.0,0,As new,0,0,,,,,,6.0,Flemish,1673.9795918367347
10574970,9000,gent,house,mixed use building,275000,1977.0,2.0,101.0,Installed,0,0.0,1.0,8.0,0.0,0.0,,2.0,0,Good,0,1,115.0,,B,Gas,2.0,4.0,Flemish,2722.772277227723
10574965,6060,gilly,house,house,185000,,3.0,129.0,,0,0.0,0.0,0.0,0.0,0.0,,4.0,0,,0,1,,,,Gas,,,Walloon,1434.108527131783
10574964,6250,pont-de-loup,house,house,135000,,3.0,94.0,,0,0.0,0.0,0.0,0.0,0.0,324.0,3.0,0,,0,0,560.0,,G,,,,Walloon,1436.1702127659576
10574963,6250,pont-de-loup,house,house,179000,,3.0,191.0,,0,0.0,1.0,0.0,0.0,0.0,241.0,3.0,0,,0,1,524.0,,G,Fuel oil,,,Walloon,937.17277486911
10574960,2018,antwerp,apartment,apartment,275000,2020.0,1.0,71.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,1,1,175.0,,B,Gas,2.0,4.0,Flemish,3873.239436619718
10574958,2800,mechelen,apartment,apartment,410000,,2.0,127.0,Installed,0,0.0,1.0,18.0,0.0,0.0,,,0,Good,0,0,148.0,,B,Gas,2.0,4.0,Flemish,3228.3464566929133
10574957,2800,mechelen,apartment,loft,410000,,2.0,127.0,Installed,0,0.0,1.0,18.0,0.0,0.0,,,0,Good,0,0,148.0,,B,Gas,2.0,4.0,Flemish,3228.3464566929133
10574955,2600,berchem,apartment,apartment,385000,1938.0,3.0,126.0,Installed,0,0.0,1.0,3.0,0.0,0.0,,2.0,0,Good,0,1,183.0,,B,Gas,2.0,4.0,Flemish,3055.5555555555557
10574954,2560,kessel,house,house,595000,1975.0,3.0,280.0,Installed,0,0.0,0.0,0.0,0.0,0.0,475.0,3.0,0,Good,0,0,170.0,,B,Gas,2.0,4.0,Flemish,2125.0
10574952,8790,waregem,house,house,495000,1970.0,3.0,220.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,594.0,3.0,0,Good,0,0,94.0,,A,Gas,3.0,4.0,Flemish,2250.0
10574945,8430,middelkerke,apartment,apartment,330000,1998.0,2.0,90.0,Installed,1,0.0,1.0,0.0,0.0,0.0,,,0,Good,1,0,505.0,,F,Electric,2.0,4.0,Flemish,3666.6666666666665
10574938,9910,ursel,apartment,ground floor,310000,2002.0,2.0,105.0,,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,1,0,116.0,,B,Gas,,4.0,Flemish,2952.3809523809523
10574936,4000,liège,house,house,267000,,3.0,200.0,Semi equipped,0,0.0,1.0,63.0,0.0,0.0,87.0,2.0,0,,0,1,417.0,,E,Gas,1.0,,Walloon,1335.0
10574928,4020,jupille-sur-meuse,house,house,165000,,2.0,105.0,,0,0.0,1.0,13.0,0.0,0.0,150.0,3.0,0,,0,0,542.0,99.0,G,Gas,,,Walloon,1571.4285714285713
10574927,8530,harelbeke,house,house,300000,1978.0,3.0,137.0,Installed,0,0.0,1.0,10.0,1.0,200.0,358.0,3.0,0,Good,0,0,334.0,,D,,2.0,4.0,Flemish,2189.78102189781
10574926,8800,roeselare,apartment,apartment,395000,1960.0,2.0,128.0,Installed,0,0.0,1.0,12.0,0.0,0.0,,2.0,0,Good,1,0,83.0,,A,,2.0,4.0,Flemish,3085.9375
10574924,2180,ekeren,apartment,apartment,209000,,2.0,90.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,0,0,168.0,,B,Gas,2.0,4.0,Flemish,2322.222222222222
10574912,9870,zulte,apartment,apartment,185000,1980.0,2.0,78.0,,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,Good,1,0,366.0,,D,Electric,,4.0,Flemish,2371.7948717948716
